         MJD         m       dm     uJy   duJy F  err    chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask      duJy_new
57762.575567 18.816441      NaN      19     28 o    0     1.15 210.91068 54.31167  6048.77  2441.70 3.59 3.51 -75.7 -0.429    18.96 20.19 02a57762o0748o   524288     34.527478
57762.587569 19.351140      NaN     -35     22 o    0     1.07 210.91068 54.31167  6069.49  2483.35 3.55 3.41 -81.7 -0.435    19.22 20.65 02a57762o0770o   524288     29.868826
57762.598663 19.287255      NaN       5     20 o    0     0.83 210.91068 54.31167  6014.30  2407.70 3.56 3.44 -76.2 -0.433    19.50 21.20 02a57762o0791o   524288     28.427922
57762.609868 19.401649      NaN       1     19 o    0     1.11 210.91068 54.31167  5989.79  2525.15 3.53 3.41 -83.8 -0.432    19.58 21.35 02a57762o0812o        0     27.733495
57762.621499 19.569016      NaN     -36     18 o    0     0.86 210.91068 54.31167  6034.00  2467.39 3.59 3.46 -82.9 -0.429    19.55 21.33 02a57762o0834o        0     27.058210
57766.588053 18.649074      NaN     -17     42 o    0     1.13 210.91068 54.31167  8267.92  2312.91 3.54 3.21  87.7 -0.479    18.50 19.21 02a57766o0718o   524288     46.606295
57766.600816 18.220396      NaN      56     42 o    0     1.06 210.91068 54.31167  8279.18  2354.83 3.55 3.17  89.2 -0.478    18.53 19.25 02a57766o0741o   524288     46.606295
57766.614587 18.317510      NaN      37     43 o    0     0.96 210.91068 54.31167  8224.13  2280.93 3.55 3.25  85.3 -0.471    18.54 19.28 02a57766o0765o   524288     47.509438
57766.628115 18.286218      NaN      54     39 o    0     1.10 210.91068 54.31167  8209.47  2400.09 3.61 3.29  86.6 -0.468    18.55 19.32 02a57766o0789o        0     43.922053
57766.640067 18.158337      NaN      79     38 o    0     1.06 210.91068 54.31167  8244.62  2342.18 3.58 3.27  86.6 -0.476    18.57 19.35 02a57766o0811o   524288     43.036575
57774.572690 19.038793      NaN      17     22 o    0     0.92 210.91068 54.31167  7902.74  3262.76 3.67 3.41  87.3 -0.423    19.28 20.84 02a57774o0747o   524288     29.868826
57774.585373 19.063754      NaN      18     21 o    0     1.04 210.91068 54.31167  7925.13  3302.15 3.62 3.31  87.5 -0.432    19.32 20.87 02a57774o0771o        0     29.140123
57774.598083 19.351140      NaN     -10     22 o    0     1.10 210.91068 54.31167  7869.87  3228.42 3.58 3.29  88.6 -0.439    19.33 20.88 02a57774o0795o        0     29.868826
57774.610853 19.454622      NaN     -42     20 o    0     0.94 210.91068 54.31167  7849.44  3349.54 3.55 3.24  89.9 -0.440    19.34 20.89 02a57774o0819o   524288     28.427922
57774.623493 19.351140      NaN      -8     22 o    0     0.86 210.91068 54.31167  7893.31  3290.47 3.55 3.26  86.5 -0.443    19.35 20.90 02a57774o0843o        0     29.868826
57794.512274 18.125925      NaN      49     50 o    0     1.05 210.91068 54.31167  9407.46  1050.42 3.62 3.24  83.3 -0.482    18.37 19.00 02a57794o0591o        0     53.927236
57794.523666 18.220396      NaN      29     51 o    0     0.89 210.91068 54.31167   187.71   967.19 3.98 3.73 -89.4 -0.429    18.35 19.00 02a57794o0611o        0     54.855690
57794.525313 18.094452      NaN      49     52 o    0     1.35 210.91068 54.31167  9417.89  1090.45 3.68 3.32  82.2 -0.491    18.34 19.00 02a57794o0614o        0     55.786618
57794.536683 18.243872      NaN     -65     61 o    0     0.97 210.91068 54.31167   209.88  1008.75 3.94 3.66  88.2 -0.443    18.20 18.84 02a57794o0634o        0     64.258437
57794.538476 16.971031      NaN    -212    197 o    0     1.04 210.91068 54.31167  9358.91  1017.09 3.60 3.25  85.8 -0.546    16.86 16.79 02a57794o0637o  4196354    198.033196
57794.542087 17.990970      NaN      -8     77 o    0     1.19 210.91068 54.31167  2498.05   506.77 3.93 3.81 -70.2 -0.669    18.26 19.26 01a57794o0644o        0     79.606198
57794.544733 17.909502      NaN     -35     83 o    0     0.99 210.91068 54.31167  3687.52 10299.10 3.45 3.36  -3.0 -0.707    18.31 19.30 01a57794o0649o   524288     85.423338
57794.549409 18.243872      NaN    -141     61 o    0     1.02 210.91068 54.31167   148.13   925.30 3.95 3.63  89.7 -0.404    18.14 18.77 02a57794o0657o        0     64.258437
57794.551239 17.433532      NaN      93     96 o    0     1.16 210.91068 54.31167  9346.63  1138.00 3.66 3.25  85.7 -0.479    17.67 18.01 02a57794o0660o        0     98.102736
57794.554417 17.963129      NaN     -14     79 o    0     0.92 210.91068 54.31167  2470.78   468.26 3.90 3.75 -67.5 -0.672    18.30 19.28 01a57794o0667o        0     81.542300
57794.557073 18.063866      NaN    -112     72 o    0     1.35 210.91068 54.31167  3665.62 10259.38 3.32 3.25  10.5 -0.720    18.36 19.33 01a57794o0672o        0     74.780658
57794.561701 17.935984      NaN     -93     81 o    0     0.86 210.91068 54.31167   125.21  1043.44 3.90 3.63  89.7 -0.427    17.83 18.24 02a57794o0680o        0     83.481416
57794.563362 18.024380      NaN      -3     74 o    0     1.22 210.91068 54.31167  9382.58  1079.99 3.63 3.21  86.2 -0.499    17.97 18.32 02a57794o0683o        0     76.708192
57794.566749 17.935984      NaN     -15     81 o    0     0.97 210.91068 54.31167  2537.50   543.13 3.80 3.64 -68.6 -0.652    18.33 19.30 01a57794o0690o   524288     83.481416
57794.569493 17.909502      NaN     -52     83 o    0     0.89 210.91068 54.31167  3724.47 10334.57 3.33 3.25   7.5 -0.697    18.38 19.36 01a57794o0695o        0     85.423338
57794.573926 16.379565      NaN      69    315 o    0     0.98 210.91068 54.31167   159.20   988.16 3.85 3.57  86.0 -0.448    16.48 16.20 02a57794o0703o  4196354    315.647187
57794.579025 17.900816      NaN      36     70 o    0     1.17 210.91068 54.31167  2554.90   423.05 3.83 3.68 -69.2 -0.651    18.33 19.32 01a57794o0713o        0     72.857029
57794.581760 18.158337      NaN     -14     66 o    0     1.37 210.91068 54.31167  3747.57 10213.99 3.36 3.25   2.1 -0.683    18.38 19.38 01a57794o0718o        0     69.022799
57794.591341 17.778234      NaN      42     78 o    0     0.99 210.91068 54.31167  2509.14   482.17 3.83 3.69 -66.1 -0.666    18.36 19.34 01a57794o0736o   524288     80.573859
57794.594018 17.935984      NaN     -17     81 o    0     0.84 210.91068 54.31167  3714.72 10271.77 3.44 3.29  -2.9 -0.686    18.38 19.40 01a57794o0741o        0     83.481416
57798.520921 18.349730      NaN      65     32 o    0     1.20 210.91068 54.31167  7008.85   893.17 3.53 3.38 -77.7 -0.472    18.81 19.80 02a57798o0629o        0     37.843715
57798.542136 18.910912      NaN     -30     33 o    0     0.96 210.91068 54.31167  7032.77   934.87 3.56 3.41 -79.1 -0.457    18.83 19.81 02a57798o0668o   524288     38.692981
57798.555288 18.944322      NaN     -29     32 o    0     0.88 210.91068 54.31167  6977.07   860.15 3.58 3.44 -77.0 -0.466    18.84 19.86 02a57798o0692o        0     37.843715
57798.561715 17.797727      NaN      55     72 o    0     1.40 210.91068 54.31167  3367.62  8180.88 4.06 3.63  84.2 -0.919    18.65 20.07 01a57798o0648o   524288     74.780658
57798.568326 18.933071      NaN       2     30 o    0     1.21 210.91068 54.31167  6955.42   981.65 3.57 3.45 -76.5 -0.461    18.86 19.91 02a57798o0716o   524288     36.168311
57798.574354 17.710822      NaN      75     73 o    0     1.14 210.91068 54.31167  3354.76  8139.98 4.14 3.70 -88.9 -0.897    18.65 20.10 01a57798o0670o   524288     75.743955
57798.581167 19.014394      NaN     -12     30 o    0     1.21 210.91068 54.31167  6998.92   922.98 3.58 3.48 -82.4 -0.458    18.87 19.91 02a57798o0740o        0     36.168311
57798.589598 17.976960      NaN     -19     78 o    0     1.12 210.91068 54.31167  3409.54  8213.35 4.00 3.58 -83.5 -0.949    18.70 20.11 01a57798o0696o   524288     80.573859
57798.604751 17.862567      NaN      48     69 o    0     1.31 210.91068 54.31167  3417.71  8093.12 4.20 3.77 -86.5 -0.879    18.64 20.12 01a57798o0722o   524288     71.896778
57798.618994 17.918258      NaN      -4     82 o    0     0.87 210.91068 54.31167  3375.18  8149.65 4.05 3.62 -84.1 -0.935    18.70 20.15 01a57798o0748o  4195328     84.452038
57801.672938 15.886312      NaN     301    433 o    0     1.19 210.91068 54.31167  6371.83  3041.79 3.60 3.56   5.5 -0.802    16.85 18.00 01a57801o0797o 12584962    433.471045
57802.557770 19.169763      NaN     -26     26 o    0     1.03 210.91068 54.31167  7845.02  9757.59 3.27 2.96 -40.9 -0.449    19.13 20.45 02a57802o0613o        0     32.926384
57802.572754 18.889197      NaN      15     27 o    0     1.07 210.91068 54.31167  7867.39  9796.20 3.75 3.71 -63.9 -0.454    19.06 20.48 02a57802o0641o  4194560     33.721607
57802.586150 19.169763      NaN     -36     26 o    0     1.13 210.91068 54.31167  7810.63  9719.10 3.68 3.62 -63.3 -0.464    19.04 20.45 02a57802o0665o        0     32.926384
57802.599681 19.051202      NaN       4     26 o    0     1.10 210.91068 54.31167  2693.58   617.22 3.66 3.51 -78.8 -0.454    19.13 20.43 02a57802o0689o        0     32.926384
57802.602420 18.806434      NaN      26     26 o    0     0.99 210.91068 54.31167  3759.63 10422.15 3.20 2.69  -5.3 -0.502    19.16 20.44 02a57802o0694o        0     32.926384
57802.613122 19.089302      NaN       4     25 o    0     0.93 210.91068 54.31167  2654.09   672.28 3.66 3.51 -81.5 -0.446    19.14 20.41 02a57802o0713o        0     32.142600
57802.615876 18.702047      NaN     -40     40 o    0     0.86 210.91068 54.31167  3711.10 10482.46 3.13 2.59 -11.9 -0.526    19.16 20.45 02a57802o0718o        0     44.812350
57802.672341 15.956880      NaN     287    404 o    0     0.90 210.91068 54.31167  6373.50  3042.07 3.78 3.76  28.7 -0.658    16.82 18.04 01a57802o0797o  4196354    404.504817
57803.661456 17.825619      NaN      81     61 o    0     1.10 210.91068 54.31167  8683.24 10267.69 3.77 3.45 -80.2 -0.628    18.35 19.73 01a57803o0667o     8192     64.258437
57803.663849 17.990970      NaN     -54     77 o    0     0.93 210.91068 54.31167  7313.62   505.83 3.85 3.71  22.8 -0.664    18.08 19.17 01a57803o0671o     8192     79.606198
57805.641468 18.649074      NaN     -32     42 o    0     1.16 210.91068 54.31167  9025.52   966.05 4.56 4.05  66.7 -0.610    18.82 20.82 01a57805o0761o   532480     46.606295
57805.656848 18.438271      NaN     -17     51 o    0     0.86 210.91068 54.31167  9050.55  1005.92 4.45 3.94  68.9 -0.622    18.65 20.48 01a57805o0787o  4195328     54.855690
57807.636634 18.649074      NaN       1     40 o    0     0.99 210.91068 54.31167  7041.41  1491.70 4.41 4.20  75.9 -0.586    19.01 21.17 01a57807o0689o   532480     44.812350
57807.651963 18.702047      NaN     -60     40 o    0     0.94 210.91068 54.31167  7070.54  1534.23 4.35 4.12  73.6 -0.603    18.96 21.04 01a57807o0715o   532480     44.812350
57807.668320 17.224385      NaN     -15    156 o    0     1.03 210.91068 54.31167  7011.77  1457.20 4.20 4.04  76.2 -0.679    17.42 18.53 01a57807o0742o  4194560    157.302723
57809.667880 13.723982      NaN   -1111   3920 o    0     1.03 210.91068 54.31167   304.52   115.18 5.08 4.54 -85.9 -0.712    14.46 15.21 01a57809o0795o 12584962   3920.052059
