         MJD         m       dm  uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   duJy_new
57549.375839 19.271854      NaN   13    19 c    0   1.26 210.91068 54.31167  2436.45  9659.19 4.25 3.90 -49.3 -0.416    19.49 21.47 02a57549o0168c        0  24.465427
57581.293250 19.212347      NaN  -17    25 c    0   1.07 210.91068 54.31167  3739.36  6913.59 4.17 3.83 -76.9 -0.443    19.01 20.64 02a57581o0088c   524288  29.369323
57581.304631 19.128787      NaN  -11    27 c    0   1.04 210.91068 54.31167  3726.77  6872.23 4.12 3.85 -62.0 -0.443    19.01 20.65 02a57581o0111c        0  31.089502
57581.321240 19.169763      NaN  -15    26 c    0   1.06 210.91068 54.31167  3782.19  6946.73 3.97 3.69 -62.7 -0.451    19.00 20.58 02a57581o0145c        0  30.225107
57581.328019 18.519279      NaN   57    28 c    0   1.12 210.91068 54.31167  3794.56  6829.35 3.92 3.63 -72.1 -0.454    19.00 20.57 02a57581o0159c        0  31.961807
57581.338880 19.256669      NaN   -2    24 c    0   1.52 210.91068 54.31167  3761.81  6888.33 3.99 3.68 -65.9 -0.453    18.93 20.48 02a57581o0181c        0  28.522923
57605.257770 18.786693      NaN  -29    37 c    0   1.40 210.91068 54.31167  4002.69  6988.33 4.26 3.91  41.5 -0.371    18.85 21.71 02a57605o0052c  4194560  40.081880
57605.266058 18.330283      NaN   51    39 c    0   1.04 210.91068 54.31167  3979.76  6947.76 4.44 4.23  41.9 -0.398    18.84 21.70 02a57605o0066c   532480  41.935154
57605.277177 18.675237      NaN -146    41 c    0   1.03 210.91068 54.31167  4035.97  7021.22 5.25 5.14  64.7 -0.324    18.70 21.72 02a57605o0085c  4194560  43.801337
57605.290850 19.155932      NaN    6    24 c    0   0.98 210.91068 54.31167  4059.64  6905.14 4.92 4.71 -64.5 -0.355    19.19 21.41 02a57605o0109c  4194560  28.522923
57605.303123 19.155932      NaN   18    20 c    0   0.84 210.91068 54.31167  4014.33  6960.97 4.12 3.93 -60.0 -0.388    19.35 21.41 02a57605o0133c   532480  25.249893
57609.251150 18.910912      NaN   17    27 c    0   1.08 210.91068 54.31167  1296.90 10121.88 4.18 3.78 -54.7 -0.424    19.04 20.57 02a57609o0045c        0  31.089502
57609.257024 15.661082      NaN  324   550 c    0   0.02 210.91068 54.31167 10521.66 10244.70 4.94 3.91  81.8 -0.425    19.23 20.92 02a57609o0055c  4196354 550.215919
57609.260345 18.786693      NaN   26    28 c    0   0.91 210.91068 54.31167  1273.10 10080.35 4.25 3.89 -54.2 -0.430    19.15 20.84 02a57609o0061c        0  31.961807
57609.274446 19.169763      NaN  -14    26 c    0   1.13 210.91068 54.31167  1328.25 10156.14 4.24 4.00 -55.2 -0.430    19.15 20.86 02a57609o0086c        0  30.225107
57609.275582 18.136622      NaN   75    42 c    0   0.85 210.91068 54.31167 10507.57 10202.14 5.08 4.03  81.4 -0.384    19.23 20.97 02a57609o0088c  4194560  44.738765
57609.283416 19.169763      NaN  -33    26 c    0   1.30 210.91068 54.31167  1340.14 10033.28 4.35 3.86 -54.9 -0.413    19.11 20.83 02a57609o0102c        0  30.225107
57609.293767 18.550302      NaN   47    30 c    0   0.81 210.91068 54.31167  1303.90 10097.55 4.49 3.94 -54.1 -0.404    19.06 20.79 02a57609o0120c        0  33.727691
57746.613969 19.454622      NaN    8    17 c    0   1.15 210.91068 54.31167  9615.68  2378.62 4.06 3.82  81.9 -0.422    19.61 21.65 02a57746o0819c        0  22.946832
57746.625461 19.510313      NaN  -26    19 c    0   1.13 210.91068 54.31167  9626.06  2418.25 4.08 3.83  80.9 -0.420    19.61 21.63 02a57746o0841c        0  24.465427
57746.627011 19.631075      NaN  -19    17 c    0   1.16 210.91068 54.31167   418.48  2309.31 4.23 4.16 -88.4 -0.369    19.54 21.57 02a57746o0844c   524288  22.946832
57746.636855 19.510313      NaN  -13    19 c    0   0.96 210.91068 54.31167  9570.53  2345.36 4.24 4.02  81.1 -0.403    19.60 21.66 02a57746o0863c   524288  24.465427
57746.638445 19.569016      NaN  -22    18 c    0   1.13 210.91068 54.31167   431.10  2349.50 4.28 4.20  86.1 -0.365    19.56 21.60 02a57746o0866c   524288  23.697196
